node_id,display_text,node_type,lat,lng
saint-denis,Saint-Denis,place,48.936065,2.364883
mainz,Mainz,place,49.995123,8.267426
bobbio,Bobbio,place,44.770624,9.385757
brittany,Brittany,place,48,-3
salzburg,Salzburg,place,47.800472,13.044376
werden,Werden,place,51.3876159,6.9699084
regensburg,Regensburg,place,49.016491,12.100904
fussen,Füssen,place,47.5857813,10.6199995
augsburg,Augsburg,place,48.368889,10.897778
ireland,Ireland*,place,54.2,-7.3
roscrea,Roscrea,place,52.95260309583187,-7.799747511323649
france,France,place,48.403978,4.710193
cambrai,Cambrai,place,50.175165,3.234282
reichenau,Reichenau,place,47.688966,9.063721
tallaght,Tallaght,place,53.28896571817595,-6.365717699215143
canterbury,Canterbury,place,51.279656,1.083194
st-gall,St Gall,place,47.423195,9.37667
laon,Laon,place,49.564415,3.624115
lyon,Lyon,place,45.767299,4.834329
lorsch,Lorsch,place,49.653611,8.569722
fulda,Fulda,place,50.553744,9.67432
reims,Reims,place,49.256602,4.032669
england,England,place,53.13,-1.38
paris,Paris,place,48.8534,2.3488
strasbourg,Strasbourg,place,48.583333,7.755833
corbie,Corbie,place,49.912325,2.491837
birr,Birr,place,53.0914,-7.9133
soissons,Soissons,place,49.381032,3.32448
wales,Wales,place,52.3,-3.8
freising,Freising,place,48.5,11.83
armagh,Armagh,place,54.347794710187706,-6.656120859096991
auxerre,Auxerre,place,47.797474,3.574677
rouen,Rouen,place,49.442543987526726,1.099536677603594
clondalkin,Clondalkin,place,53.32210957074357,-6.395538835907803
echternach,Echternach,place,49.812872,6.42213
saint-amand,Saint-Amand,place,50.449722,3.428611
fleury,Fleury,place,47.810464,2.306024
luxeuil,Luxeuil,place,47.8166493,6.3821879
germany,Germany,place,49.107504,9.905002
trier,Trier,place,49.753735,6.646247
bangor,Bangor,place,54.655700825557794,-5.67473556226187
deer,Deer,place,57.519167,-2.036667
northumbria,Northumbria,place,55,-2.5
italy,Italy,place,43,12
peronne,Péronne,place,49.92824,2.931976
iona,Iona,place,56.33,-6.41
verona,Verona,place,45.442006,10.995485
wurzburg,Würzburg,place,49.793677,9.926834
verdun,Verdun,place,49.174522,5.383301
switzerland,Switzerland,place,46.833333,8.333333
tours,Tours,place,47.390294,0.688851
